fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221001 042341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	102191	0.0317387637444742	0.926380007673226	1773	912	5909	25390000	79
20221001 042520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	102191	0.0319270632649604	0.921595672476451	802	789	10571	26460000	80
20221001 042605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	102191	0.0321099593152267	0.933586783531552	1248	50	8779	26450000	81
20221001 042727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	102191	0.0356418969261833	0.951030122281187	500	431	8514	26740000	82
20221001 043312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1020	TRUE	102191	0.0105451892212652	0.710886462627291	1305	995	10954	26660000	83
20221001 043428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	102191	0.0341940858697328	0.915039079249991	717	307	8431	26580000	84
20221001 043941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1534	TRUE	102191	0.00580158138444571	0.61550711745813	522	45	11283	26400000	85
20221001 044532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1151	TRUE	102191	0.00873779926900758	0.550930040762854	1517	593	11504	26360000	86
20221001 044731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	264	TRUE	102191	0.0200761659292363	0.88255969423636	1500	621	9764	26560000	87
20221001 045132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	425	TRUE	102191	0.00504555647982508	0.917578191658455	500	76	10358	26570000	88
20221001 045343	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	102191	0.0205206987105474	0.968424211139462	500	342	8574	26700000	89
20221001 045705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1194	TRUE	102191	0.0126123314086248	0.21451522261019	2548	85	10463	26440000	90
20221001 045851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	102191	0.0219402403233461	0.368182519009914	533	861	6664	26360000	91
20221001 050322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1098	TRUE	102191	0.0140625901031154	0.954650778349134	2277	276	12516	25690000	92
20221001 050627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	102191	0.0152762660625653	0.932453864576405	603	627	7735	26370000	93
20221001 050914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	313	TRUE	102191	0.0132679056549176	0.334801825191732	858	1011	8737	26210000	94
20221001 051011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	102191	0.037911756507957	0.932511520332824	1444	739	7999	26890000	95
20221001 051208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	102191	0.0182150726348853	0.642196175355883	1090	506	9342	26440000	96
20221001 051412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	339	TRUE	102191	0.013746884536954	0.200494849836121	1235	142	13802	24720000	97
20221001 051633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	102191	0.023026193238256	0.433093691719565	501	307	8010	26780000	98
20221001 051805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	102191	0.0388698406353323	0.917173220121349	557	1022	12099	26050000	99
20221001 052018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	102191	0.0152862968574232	0.948183609643875	1110	176	9271	26820000	100
20221001 052222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	244	TRUE	102191	0.0225837460311578	0.389959627298731	529	141	9644	27280000	101
